DAUID,Pop2016,Instability_DA16,Deprivation_DA16,Dependency_DA16,Ethniccon_DA16,Instability_q_DA16,Deprivation_q_DA16,Dependency_q_DA16,Ethniccon_q_DA16
35390299,1284,2.081652118,0.3746944768,0.1898325765,0.4038372313,5,4,4,4
35390300,425,0.4146054156,1.900600858,-0.5613767727,0.5238328845,4,5,2,4
35390301,526,0.4463219931,-0.1460087459,0.05859709504,-0.2391251272,4,3,4,3
35390303,1030,0.8695905764,0.07984849603,-0.03578805955,-0.4646368654,5,4,3,3
35390305,244,1.072451455,0.7426632525,-0.5105631138,-0.04440276304,5,5,2,4
35390306,433,1.178136655,1.046546814,-0.578918064,-0.902824338,5,5,2,1
35390307,476,0.8123768182,0.2386888659,-1.086223304,-0.8862150827,5,4,1,1
35390308,437,0.7855040313,1.242125225,0.007366302536,-0.3767668452,5,5,3,3
35390311,630,1.263733435,-0.3007726284,-0.9805554931,-0.8498622513,5,3,1,1
35390312,657,2.054702595,0.115417394,-0.5884508902,-0.7929012358,5,4,2,2
35390313,468,0.9105403603,0.1054439628,-0.4351670917,-0.6523388966,5,4,2,2
35390314,508,1.513464983,0.7138951784,-0.701370752,-0.3364240192,5,5,2,3
35390315,612,3.482728669,1.409554743,2.091886496,-0.3827106635,5,5,5,3
35390316,595,1.018827394,-0.01633941408,-0.0802999369,-0.459340897,5,3,3,3
35390321,560,3.298837673,1.530961382,2.990348961,0.2682813795,5,5,5,4
35390323,682,2.631154247,0.486287981,-0.9037550211,2.393461999,5,4,1,5
35390324,385,1.408386482,-0.1265051108,-0.458968567,-0.07260470194,5,3,2,3
35390325,602,1.535085266,0.228395981,-0.820752137,-0.2133206883,5,4,1,3
35390326,457,4.188708654,3.771357264,0.8762922358,1.12762106,5,5,5,5
35390327,774,2.722199067,-1.151805148,1.580609901,-0.4966090331,5,1,5,2
35390328,542,2.45915601,-0.8565377479,1.682692192,-0.9141979966,5,1,5,1
35390329,325,-0.1556396813,-1.052915551,0.4208123062,-0.4528470319,3,1,4,3
35390330,368,2.627133098,1.026551494,-0.4555866971,2.584590656,5,5,2,5
35390333,898,1.46835226,0.6276608279,-0.514605938,1.596828708,5,4,2,5
35390334,414,-0.5330000415,-0.172609901,0.5007997893,-0.2776531218,2,3,4,3
35390335,365,-0.1139406844,-0.5230689388,0.4283951453,0.245807386,3,2,4,4
35390336,608,-0.4441692008,-1.025007065,0.4965114331,-0.8623652921,3,1,4,1
35390337,507,-0.3486832103,-0.8615538933,0.3086089543,-0.1417397639,3,1,4,3
