DAUID,material_deprivation,residential_instability,dependency,ethnic_concentration
35020145,-1.5606592053393125,-0.5782600229468671,-0.9790813974252034,-0.8294398913289482
35020146,-0.7124317118846746,-0.6186549360855982,-0.9035066827389632,-0.34542771771709757
35020147,-0.8918707499495456,-0.5804434138074017,-0.3577400502811799,-0.7332277420946913
35020148,0.685967922997737,0.8144447523608227,-0.2951599290339795,-0.6128161446454699
35020150,-0.731938352250071,0.29463350713715797,0.6254543849233934,-0.7956990115052858
35020151,-0.5815271181886935,0.18805322808213965,-0.6756916014626265,-0.8933857325234146
35020152,-0.6002979715466628,0.2565665379461072,-0.1483714376824563,-0.7448027893919662
35020153,-0.9908499465464367,-1.0435709697647522,-0.7672813293260417,-0.20500159826253186
35020154,-0.5033479567025483,-0.9703859791896672,-0.7481792343343694,-0.6803156814360064
35020155,-0.6212121911769448,0.00027842639649965084,0.5887524609739226,-0.4556519021709027
35020156,-0.9136134212950371,-1.071420859168009,-1.0160319497823869,-0.42402517539636586
35020157,-0.37458405487256424,-0.4706607851239162,-0.3454483164952799,-0.5828725341172473
35020158,-0.3932763672109933,-0.05423628727280383,-0.41937837708329934,-0.7552795792342389
35020159,-1.0418706799978736,-0.8206865958714925,-1.05430531037097,-0.6173146353903409
35020160,-1.1747398646380414,-0.8025482082821561,-0.9830181475079277,-0.2565908161500904
35020161,-1.0915935199248676,-0.8125898905914155,-0.9333988306470036,-0.4032250124811813
35020162,-0.8184313110342235,-0.9041636979516325,-0.9577182432614079,-1.0561763257950316
35020163,0.3240974529235508,-0.8402302560145095,-0.4989907933527724,-1.1237437046768868
35020164,-0.9271539024529608,-0.9936732099303673,0.11485952243637632,-0.3135304622532034
35020165,-0.583011641411269,-0.6247789331064285,-0.2893354984141053,-0.7311781112151291
35020166,-0.8031784604314486,-0.7571916759667761,-0.2520106779294577,-1.0642238157208084
35020167,-0.6845766257520547,-0.5661285298431507,-1.0722395657390031,-0.9586919997510106
35020168,-0.3997135749967291,-1.0792832060480042,-0.8381332301151889,-0.7079980239073416
35020169,-0.115617665650547,-0.5552323054846817,-0.40111870282715667,-0.8978527397625535
35020170,-0.05141034702125069,0.06481416494163139,0.03421874748907662,-0.7428223775437415
35020171,-0.27206931086774533,-0.12468051967700938,0.4686974632022244,-1.1955221215816336
